open,close,low,high,avgGas,timestamp
51.87,65.19,31.27,89.77,85272.72254833332,2022-05-04T15:00:06.353Z
57.49,61.48,45.43,120.07,81781.36319333334,2022-05-04T16:00:09.213Z
61.69,49.0,38.83,73.73,86685.52362333333,2022-05-04T17:00:11.828Z
71.92,48.66,36.38,113.81,91239.97558,2022-05-04T18:00:14.529Z
52.88,51.11,44.91,108.11,87823.88772,2022-05-04T19:00:17.761Z
65.18,63.37,38.1,97.19,84268.56236499998,2022-05-04T20:00:20.449Z
48.87,76.64,34.67,80.12,96863.34929499998,2022-05-04T21:00:28.422Z
51.72,36.18,30.0,66.92,94666.79120166668,2022-05-04T22:00:30.744Z
55.32,44.58,27.1,64.11,98075.27605833329,2022-05-04T23:00:36.455Z
45.04,47.52,25.76,69.33,93338.69878,2022-05-05T00:00:38.744Z
35.51,37.54,24.06,57.9,91221.30838833332,2022-05-05T01:00:43.427Z
73.09,34.86,28.22,73.09,83298.22806000001,2022-05-05T02:00:45.711Z
72.63,70.0,44.15,233.97,75639.57553,2022-05-05T03:00:48.194Z
38.48,54.56,28.54,77.58,91208.56097999994,2022-05-05T04:00:50.875Z
27.99,38.6,26.4,51.38,89130.19787118645,2022-05-05T05:00:53.498Z
32.16,26.33,25.06,56.19,100098.01077166668,2022-05-05T06:00:01.672Z
37.91,31.19,25.0,47.1,87369.74191166666,2022-05-05T07:00:04.945Z
32.57,35.66,24.67,55.36,83247.41561499999,2022-05-05T08:00:07.273Z
34.64,31.08,23.98,40.26,94416.89655666666,2022-05-05T09:00:09.224Z
36.12,33.44,22.0,47.99,93765.70123833338,2022-05-05T10:00:14.213Z
33.61,31.24,22.62,43.77,94627.61150166667,2022-05-05T11:00:16.511Z
62.66,35.15,26.49,138.08,74643.76853666666,2022-05-05T12:00:19.976Z
72.59,55.69,47.61,88.92,75836.43314833332,2022-05-05T13:00:22.723Z
71.21,72.53,46.58,103.53,76449.33847666667,2022-05-05T14:00:25.854Z
99.59,80.13,48.0,148.38,81897.09218833334,2022-05-05T15:00:29.641Z
61.26,85.52,49.69,162.52,82578.23500333332,2022-05-05T16:00:33.156Z
51.83,53.96,35.46,99.19,83445.24484833333,2022-05-05T17:00:35.825Z
72.09,50.19,39.14,103.5,86364.20091333335,2022-05-05T18:00:38.942Z
49.53,72.38,43.82,108.61,82572.33608166667,2022-05-05T19:00:41.613Z
