open,close,low,high,avgGas,timestamp
6.2,10.86,5.0,16.75,107252.91132166666,2022-09-20T22:00:02.394Z
5.21,6.77,4.0,111.0,106949.66650999997,2022-09-20T23:00:03.637Z
13.96,5.7,5.0,151.0,143329.27492000005,2022-09-21T00:00:04.997Z
8.0,14.24,4.0,15.29,133865.97110333332,2022-09-21T01:00:06.286Z
6.77,6.41,5.4,27.29,116263.66750333337,2022-09-21T02:00:07.602Z
6.69,6.76,4.07,9.88,156242.43988983042,2022-09-21T03:00:08.845Z
5.45,6.65,3.0,11.33,163586.07902666667,2022-09-21T04:00:20.027Z
6.46,6.3,3.66,10.18,108757.32271333336,2022-09-21T05:00:21.311Z
5.98,7.0,4.82,14.88,101898.50120166669,2022-09-21T06:00:22.671Z
4.7,10.63,3.02,10.72,115121.9347533333,2022-09-21T07:00:23.950Z
4.34,5.22,2.24,7.08,140531.38414666665,2022-09-21T08:00:25.178Z
5.48,4.0,2.22,6.59,117204.56691000001,2022-09-21T09:00:26.635Z
4.33,5.18,2.85,6.86,123646.63930000002,2022-09-21T10:00:28.918Z
6.97,4.21,2.0,83.0,147318.1116033333,2022-09-21T11:00:30.192Z
15.47,6.02,3.92,16.77,94609.87525166664,2022-09-21T12:00:31.523Z
13.01,12.44,6.8,23.53,92776.88509499999,2022-09-21T13:00:32.714Z
11.05,10.08,7.56,52.9,94567.09423333334,2022-09-21T14:00:33.998Z
12.97,11.24,10.41,25.49,103195.88982500002,2022-09-21T15:00:35.303Z
15.12,15.53,13.3,63.93,106019.69640500001,2022-09-21T16:00:36.614Z
15.6,15.33,9.43,50.26,100878.92819499999,2022-09-21T17:00:37.818Z
18.01,18.29,14.7,211.37,93998.42983000001,2022-09-21T18:00:39.191Z
13.95,19.7,11.01,64.43,97919.81999499997,2022-09-21T19:00:40.688Z
11.41,12.71,8.0,18.94,107893.44386333333,2022-09-21T20:00:28.400Z
15.59,9.57,9.57,42.99,103540.44351999997,2022-09-21T21:00:29.839Z
9.79,15.5,8.0,87.22,102785.33398833335,2022-09-21T22:00:31.182Z
9.87,13.05,5.0,26.13,104912.87513333332,2022-09-21T23:00:32.561Z
8.32,8.98,6.83,26.16,105691.543595,2022-09-22T00:00:33.908Z
6.34,9.82,4.0,10.56,106127.3503,2022-09-22T01:00:35.085Z
8.05,6.31,4.0,50.0,101663.17912333336,2022-09-22T02:00:36.262Z
6.6,7.53,5.0,15.13,111015.83360172417,2022-09-22T03:00:37.443Z
4.75,7.78,3.0,30.0,130365.30642666663,2022-09-22T04:00:34.493Z
4.45,4.79,3.0,7.86,112437.03431000002,2022-09-22T05:00:35.783Z
5.24,5.08,3.0,13.42,118644.37749833333,2022-09-22T06:00:36.847Z
4.88,6.21,3.41,9.91,137014.70470166666,2022-09-22T07:00:37.989Z
7.92,6.06,4.23,9.45,100659.92858,2022-09-22T08:00:39.215Z
5.0,6.92,3.0,7.03,111771.9464816667,2022-09-22T09:00:40.451Z
5.18,4.63,4.0,10.73,124810.31645000001,2022-09-22T10:00:41.661Z
5.4,6.24,3.0,8.21,112615.4529016667,2022-09-22T11:00:42.964Z
10.51,5.3,3.15,40.25,114119.96166333338,2022-09-22T12:00:44.310Z
11.79,11.12,7.0,13.13,103947.4746233333,2022-09-22T13:00:46.317Z
16.68,11.88,9.58,18.79,97425.16944,2022-09-22T14:00:53.796Z
16.01,20.37,15.1,43.77,87839.58557499998,2022-09-22T15:00:55.240Z
10.59,17.46,9.0,40.0,95392.14981666666,2022-09-22T16:00:56.491Z
12.03,12.87,10.08,32.96,93277.51253166664,2022-09-22T17:00:58.047Z
21.71,14.53,8.0,33.53,103143.68131694918,2022-09-22T18:00:59.353Z
12.12,18.29,8.0,22.87,102858.01860999998,2022-09-22T19:00:00.858Z
13.21,11.62,6.0,22.96,97148.0831816667,2022-09-22T20:00:02.359Z
8.12,11.54,6.0,24.41,99352.34469166669,2022-09-22T21:00:03.829Z
13.68,8.0,5.0,22.43,123566.69071499998,2022-09-22T22:00:05.310Z
5.9,12.18,4.1,15.48,114519.01166500004,2022-09-22T23:00:06.718Z
6.0,5.87,4.41,20.54,121593.57263666668,2022-09-23T00:00:08.184Z
5.92,7.67,4.0,9.27,136221.8339933333,2022-09-23T01:00:09.587Z
6.47,6.16,4.99,9.55,109599.42337333334,2022-09-23T02:00:10.695Z
5.45,5.87,4.59,10.45,122096.26392881355,2022-09-23T03:00:11.973Z
8.58,5.34,4.58,10.08,110723.48295833332,2022-09-23T04:00:51.084Z
5.45,10.39,3.88,18.54,160987.68632999994,2022-09-23T05:00:52.373Z
5.0,6.31,4.23,20.12,131721.28168666668,2022-09-23T06:00:53.571Z
6.65,6.86,4.53,11.09,149359.6450283333,2022-09-23T07:00:54.777Z
5.43,7.1,4.0,30.0,114571.08494000002,2022-09-23T08:00:56.128Z
6.44,5.76,4.3,9.02,114006.86063833334,2022-09-23T09:00:57.316Z
7.45,7.82,4.02,18.74,120313.65133333336,2022-09-23T10:00:58.591Z
7.46,7.42,4.97,10.0,98871.97633220337,2022-09-23T11:00:59.729Z
8.74,6.73,6.25,20.91,102700.90045000006,2022-09-23T12:00:01.211Z
19.91,9.24,7.0,21.57,101139.18562833336,2022-09-23T13:00:02.671Z
10.25,28.02,9.62,46.02,91758.970095,2022-09-23T14:00:04.125Z
12.14,9.68,9.54,18.0,94037.69057500006,2022-09-23T15:00:05.582Z
11.1,12.14,7.87,18.94,97920.4639983333,2022-09-23T16:00:07.124Z
9.2,10.85,6.09,20.63,107118.48393833336,2022-09-23T17:00:08.537Z
9.68,11.05,7.98,84.45,103338.34293500004,2022-09-23T18:00:09.820Z
7.49,9.81,5.0,11.3,97873.28992333334,2022-09-23T19:00:11.454Z
6.32,6.72,5.0,8.61,95384.92169166668,2022-09-23T20:00:12.891Z
9.16,6.87,6.84,46.2,106807.98926333334,2022-09-23T21:00:14.227Z
6.0,10.16,4.67,13.06,90779.03518999998,2022-09-23T22:00:15.637Z
5.04,5.75,3.61,7.43,133141.71541,2022-09-23T23:00:17.054Z
5.12,5.29,3.0,7.1,120061.43299499998,2022-09-24T00:00:18.418Z
4.8,4.8,3.84,50.0,144303.66759166666,2022-09-24T01:00:19.827Z
5.0,5.23,4.03,10.22,110152.25109166667,2022-09-24T02:00:21.084Z
4.98,6.59,3.56,10.0,136881.55759152543,2022-09-24T03:00:22.414Z
5.0,6.08,3.0,10.02,131919.43556666668,2022-09-24T04:00:37.074Z
5.0,4.82,3.0,7.02,181915.7065716666,2022-09-24T05:00:38.408Z
4.23,4.93,3.0,6.96,219648.31732999993,2022-09-24T06:00:39.712Z
6.21,5.65,3.71,7.97,196158.75943666662,2022-09-24T07:00:40.940Z
5.28,5.46,3.86,7.97,143216.0970616667,2022-09-24T08:00:42.133Z
4.45,6.0,4.0,15.0,120758.58713166665,2022-09-24T09:00:43.410Z
5.67,7.3,3.8,15.85,144281.10244000002,2022-09-24T10:00:46.778Z
5.63,5.97,3.77,9.26,165028.01407833333,2022-09-24T11:00:47.995Z
5.4,5.23,3.14,8.59,102216.00976833333,2022-09-24T12:00:49.298Z
6.03,5.39,3.83,11.32,103239.82897499998,2022-09-24T13:00:50.577Z
6.09,6.39,3.37,25.9,102888.47459666665,2022-09-24T14:00:51.814Z
6.79,6.42,4.57,11.65,104200.34107499999,2022-09-24T15:00:53.051Z
6.37,6.5,4.82,10.0,98019.16278333333,2022-09-24T16:00:54.357Z
5.95,8.1,4.0,15.18,96473.71466166667,2022-09-24T17:00:55.733Z
